epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,15.9347,5.58562,0.00224,0.0239,5.54492,1.28968e-05,1.28968e-05,1.28968e-05
2,31.1032,5.48276,0.01693,0.07022,5.36426,2.50422e-05,2.50422e-05,2.50422e-05
3,46.4703,5.27573,0.08167,0.23108,5.02393,3.63296e-05,3.63296e-05,3.63296e-05
4,61.8402,4.89836,0.20717,0.45568,4.44214,3.5139e-05,3.5139e-05,3.5139e-05
5,77.8898,4.38752,0.31026,0.59188,3.8429,3.3852e-05,3.3852e-05,3.3852e-05
6,93.5265,3.87968,0.37425,0.67156,3.35974,3.2565e-05,3.2565e-05,3.2565e-05
7,109.474,3.45592,0.42405,0.7241,2.98938,3.1278e-05,3.1278e-05,3.1278e-05
8,124.927,3.12351,0.47012,0.75722,2.73047,2.9991e-05,2.9991e-05,2.9991e-05
9,140.857,2.86092,0.49701,0.77988,2.52637,2.8704e-05,2.8704e-05,2.8704e-05
10,156.389,2.66016,0.52266,0.79656,2.35596,2.7417e-05,2.7417e-05,2.7417e-05
11,172.23,2.49626,0.54631,0.81076,2.22168,2.613e-05,2.613e-05,2.613e-05
12,187.677,2.36376,0.56399,0.82072,2.12543,2.4843e-05,2.4843e-05,2.4843e-05
13,203.562,2.24155,0.57495,0.82669,2.04974,2.3556e-05,2.3556e-05,2.3556e-05
14,219.01,2.15595,0.59138,0.83541,1.95935,2.2269e-05,2.2269e-05,2.2269e-05
15,234.885,2.07158,0.59338,0.83964,1.90472,2.0982e-05,2.0982e-05,2.0982e-05
16,250.377,2.00863,0.60433,0.84587,1.85413,1.9695e-05,1.9695e-05,1.9695e-05
17,266.144,1.95393,0.60857,0.84985,1.81464,1.8408e-05,1.8408e-05,1.8408e-05
18,281.564,1.89549,0.61977,0.85209,1.77277,1.7121e-05,1.7121e-05,1.7121e-05
19,297.426,1.85373,0.62126,0.85583,1.7337,1.5834e-05,1.5834e-05,1.5834e-05
20,312.749,1.81908,0.62649,0.85832,1.70148,1.4547e-05,1.4547e-05,1.4547e-05
21,328.905,1.78768,0.63023,0.85931,1.68567,1.326e-05,1.326e-05,1.326e-05
22,343.944,1.76435,0.63521,0.86454,1.66486,1.1973e-05,1.1973e-05,1.1973e-05
23,359.393,1.73268,0.63695,0.86404,1.64288,1.0686e-05,1.0686e-05,1.0686e-05
24,374.684,1.71125,0.63969,0.86579,1.62665,9.399e-06,9.399e-06,9.399e-06
25,390.08,1.69099,0.64168,0.86703,1.60938,8.112e-06,8.112e-06,8.112e-06
26,405.094,1.67907,0.64392,0.86927,1.60437,6.825e-06,6.825e-06,6.825e-06
27,420.586,1.67298,0.64417,0.87027,1.59149,5.538e-06,5.538e-06,5.538e-06
28,435.725,1.66534,0.64492,0.87002,1.58246,4.251e-06,4.251e-06,4.251e-06
29,451.1,1.66247,0.64641,0.87052,1.58264,2.964e-06,2.964e-06,2.964e-06
30,466.546,1.64896,0.64517,0.87226,1.57983,1.677e-06,1.677e-06,1.677e-06
